Age,SSec_Category,Gender,Hobby,Education_Duration,Housing,Profession,Loan Status,Working_Hours,Investment,Loan,Dependents,Marital_Status,Yearly_Breaks,Number_of_Siblings,Employer_Kind,City,Income,Answer,Country,Debt_Paid,Id
30.0,4,F,11,10.0,Trailer,6,EMI,42.0,20.0,2000.0,5,Separated,0,4,MNC,38,191407.49800000002,0,Canada,43323,17
36.0,4,F,1,8.0,Apartment,11,EMI,52.0,20.0,2000.0,1,,0,2,MNC,38,29423.917,0,Canada,31773,18
41.0,4,M,12,15.0,Slum,3,Critical,47.0,20.0,2000.0,5,Married,1,4,MNC,38,298903.317,1,Canada,36752,19
38.0,4,F,10,17.0,Apartment,9,EMI,62.0,20.0,2000.0,1,Single,0,3,MNC,38,199031.715,1,Canada,23341,20
33.0,2,F,6,6.0,Bungalow,4,Not Applied,42.0,20.0,2000.0,1,Single,1,3,MNC,38,77170.543,0,Canada,22788,22
57.0,4,M,11,10.0,Bungalow,12,EMI,42.0,20.0,2000.0,5,Married,1,2,,38,105552.66699999999,0,Canada,46377,24
54.0,4,F,9,14.0,Condo,12,Applied,42.0,20.0,2000.0,1,Single,1,4,Self-employed,38,219404.823,1,Canada,36186,25
17.0,4,F,11,10.0,Condo,2,EMI,42.0,20.0,2000.0,4,Separated,1,4,Self-employed,38,160624.05,0,Canada,27928,26
37.0,4,F,11,10.0,Apartment,3,EMI,,20.0,2000.0,2,Married,0,2,Self-employed,38,361736.68299999996,0,Canada,39173,28
21.0,4,F,7,13.0,Slum,10,Applied,54.0,20.0,2000.0,2,Separated,0,2,MNC,38,187629.305,0,Canada,31544,30
18.0,2,F,15,11.0,Apartment,11,EMI,46.0,20.0,2000.0,4,Separated,1,2,MNC,38,266009.92699999997,0,Canada,35666,31
43.0,4,F,9,14.0,,3,EMI,42.0,20.0,3408.0,4,Married,1,2,,38,386197.336,0,Canada,22147,32
28.0,4,F,15,11.0,Condo,0,Not Applied,42.0,20.0,2000.0,4,Single,1,2,MNC,38,57258.549000000006,0,Canada,12608,33
20.0,2,F,15,11.0,Trailer,7,Overdue,17.0,20.0,2000.0,1,Single,0,3,MNC,38,315936.092,0,Canada,47049,34
46.0,4,F,1,8.0,Condo,6,EMI,,20.0,2000.0,5,Separated,1,3,Self-employed,32,251032.962,0,Canada,10427,35
19.0,4,F,15,11.0,Bungalow,6,EMI,42.0,20.0,2000.0,4,,1,3,Self-employed,38,196700.897,0,Canada,23694,36
17.0,4,M,11,10.0,Bungalow,0,EMI,27.0,20.0,2000.0,6,,0,2,Self-employed,38,546229.1170000001,0,Canada,20912,37
29.0,4,F,15,11.0,Apartment,11,EMI,40.0,20.0,2000.0,1,Single,1,4,MNC,38,92444.002,1,Canada,29658,38
46.0,4,F,7,13.0,Trailer,9,Critical,42.0,20.0,2000.0,1,Single,1,4,Self-employed,38,266651.599,0,Canada,18333,39
29.0,4,F,6,6.0,Trailer,6,EMI,45.0,20.0,2000.0,1,Single,0,4,,38,507476.68299999996,0,Canada,36704,40
51.0,4,F,9,14.0,Slum,9,Critical,42.0,20.0,2000.0,1,Single,0,2,Self-employed,38,93713.929,0,Canada,43715,41
51.0,4,F,11,10.0,Trailer,6,EMI,40.0,20.0,2000.0,1,Single,1,2,MNC,38,141330.72199999998,0,Canada,43638,46
42.0,4,M,12,15.0,Trailer,3,EMI,42.0,20.0,2000.0,5,Married,0,4,MNC,38,123649.71699999999,0,Canada,26008,47
39.0,4,F,8,12.0,Slum,2,Overdue,42.0,20.0,2000.0,1,Single,1,3,,38,100656.714,0,Canada,31164,48
27.0,4,F,8,12.0,,9,EMI,,20.0,2000.0,2,Separated,0,3,MNC,38,271256.344,0,Canada,10195,49
16.0,4,M,11,10.0,Bungalow,7,EMI,32.0,20.0,2000.0,4,Separated,1,2,MNC,38,228455.076,0,Canada,44761,51
45.0,4,M,14,16.0,Condo,9,EMI,62.0,20.0,3902.0,6,Single,1,4,MNC,15,49239.907999999996,1,Canada,24653,52
48.0,4,F,9,14.0,Trailer,3,Not Applied,57.0,20.0,2000.0,2,Married,0,3,Self-employed,38,251696.945,1,Canada,15018,53
45.0,4,F,11,10.0,Apartment,3,Paid,62.0,20.0,2000.0,2,,0,2,MNC,38,116883.119,0,Canada,38284,54
41.0,4,F,15,11.0,Trailer,12,EMI,42.0,20.0,2000.0,1,Single,1,4,MNC,38,243765.046,1,Canada,11505,55
44.0,4,F,4,4.0,Apartment,6,EMI,,20.0,2000.0,1,Single,0,2,,25,222542.642,0,Canada,21933,56
33.0,4,F,8,12.0,Condo,7,EMI,42.0,20.0,2000.0,1,Single,1,3,Self-employed,32,54153.81,0,Canada,24126,57
39.0,4,F,11,10.0,Trailer,0,EMI,50.0,20.0,2000.0,1,Single,0,4,MNC,38,142138.41,0,Canada,32443,58
28.0,4,F,11,10.0,Slum,6,EMI,42.0,5033.0,2000.0,1,Single,0,4,MNC,38,191068.361,0,Canada,35524,59
30.0,4,F,5,5.0,Trailer,9,EMI,42.0,20.0,2000.0,2,Divorced,0,3,Self-employed,38,298012.74,0,Canada,31347,61
40.0,4,F,10,17.0,,9,EMI,,20.0,2000.0,1,,1,2,MNC,38,120342.335,1,Canada,11144,63
27.0,4,F,15,11.0,Apartment,12,EMI,60.0,20.0,2000.0,2,Married,0,2,,38,105395.401,0,Canada,30875,64
34.0,4,F,11,10.0,Apartment,2,EMI,42.0,20.0,2000.0,1,Single,0,3,Self-employed,38,161278.726,0,Canada,13390,65
51.0,4,M,11,10.0,Slum,0,EMI,42.0,20.0,2000.0,6,Single,1,2,MNC,38,162146.24,1,Canada,38017,67
47.0,4,F,15,11.0,,3,Paid,52.0,20.0,2000.0,1,Single,0,2,Self-employed,38,185191.887,1,Canada,33646,68
23.0,4,F,15,11.0,Bungalow,9,EMI,42.0,20.0,2000.0,4,Separated,1,3,Self-employed,38,205889.742,0,Canada,48993,69
17.0,4,F,15,11.0,Trailer,9,EMI,,20.0,2000.0,4,Separated,0,4,Self-employed,38,108251.665,0,Canada,46766,70
21.0,4,F,15,11.0,,6,EMI,42.0,20.0,2000.0,2,Separated,1,4,Self-employed,38,204272.06600000002,0,Canada,49724,73
16.0,4,M,1,8.0,Trailer,7,EMI,24.0,20.0,2000.0,4,Separated,0,2,Self-employed,38,306591.238,0,Canada,25685,78
29.0,4,F,5,5.0,,4,Applied,42.0,20.0,2000.0,1,Single,0,4,Self-employed,38,125101.106,0,Canada,11128,79
50.0,4,F,9,14.0,Apartment,7,EMI,42.0,20.0,2000.0,1,,1,4,MNC,4,272036.88,0,Canada,14631,81
57.0,4,F,11,10.0,Trailer,11,EMI,50.0,20.0,2000.0,1,Single,1,4,Self-employed,38,158109.311,0,Canada,37524,83
42.0,4,M,11,10.0,Apartment,2,EMI,,14364.0,2000.0,2,Married,1,2,Self-employed,38,342379.084,1,Canada,43217,84
51.0,4,M,11,10.0,Apartment,11,EMI,37.0,20.0,2000.0,4,Married,0,2,MNC,38,346075.37700000004,0,Canada,15953,85
47.0,4,F,11,10.0,Condo,10,Applied,42.0,20.0,2000.0,1,Single,0,4,MNC,38,259620.014,1,Canada,32614,86
28.0,4,F,6,6.0,Trailer,11,EMI,42.0,20.0,2000.0,2,Separated,0,2,,38,57075.867,0,Canada,49345,88
41.0,4,M,10,17.0,,9,Not Applied,52.0,20.0,2000.0,2,Separated,0,2,Self-employed,38,409546.811,1,Canada,21784,89
55.0,4,F,8,12.0,Condo,9,EMI,42.0,20.0,2000.0,1,,1,3,MNC,38,240974.01100000003,0,Canada,35433,90
26.0,2,M,15,11.0,Bungalow,6,EMI,27.0,20.0,2000.0,5,Married,0,4,Self-employed,38,214850.237,0,Canada,44313,92
28.0,1,M,11,10.0,Apartment,11,EMI,37.0,20.0,3573.0,6,Single,0,3,Self-employed,38,114203.56,0,Canada,48592,93
27.0,4,F,15,11.0,Slum,5,Applied,52.0,20.0,2000.0,2,Separated,1,2,Self-employed,38,112224.75300000001,0,Canada,26712,95
46.0,4,F,10,17.0,Apartment,9,Critical,62.0,20.0,3902.0,1,Single,0,3,,38,195606.949,1,Canada,24294,96
35.0,4,F,15,11.0,Bungalow,11,EMI,50.0,20.0,2000.0,1,Single,1,2,Self-employed,38,201507.655,1,Canada,25104,97
46.0,4,M,7,13.0,Bungalow,3,EMI,,20.0,2000.0,5,Married,1,3,MNC,8,170925.922,0,Canada,14961,98
30.0,2,F,11,10.0,Condo,7,Not Applied,42.0,20.0,2000.0,4,,0,2,Self-employed,38,254268.746,0,Canada,27080,99
74.0,4,F,12,15.0,Trailer,3,EMI,42.0,20.0,2000.0,1,Single,0,4,MNC,38,120831.34800000001,1,Canada,13762,100
42.0,4,F,9,14.0,Apartment,3,EMI,62.0,15044.0,2000.0,1,Single,1,2,MNC,38,203922.00100000002,1,Canada,38425,101
45.0,4,M,12,15.0,Condo,9,Critical,52.0,20.0,2000.0,2,Separated,0,2,MNC,38,150625.39,0,Canada,38583,102
30.0,4,F,11,10.0,Condo,2,Paid,,7708.0,2000.0,1,Single,0,2,MNC,38,313164.374,1,Canada,11161,105
15.0,4,M,0,7.0,,9,EMI,34.0,34115.0,2000.0,4,Separated,1,4,MNC,38,305804.50399999996,0,Canada,33535,106
40.0,4,F,11,10.0,Bungalow,5,EMI,42.0,20.0,2000.0,1,Single,0,3,Self-employed,38,128317.263,0,Canada,30455,109
22.0,4,F,9,14.0,Slum,11,EMI,42.0,20.0,2000.0,3,Separated,1,3,MNC,38,427483.31799999997,0,Canada,38282,110
36.0,4,F,14,16.0,Trailer,9,EMI,42.0,20.0,2000.0,1,Single,0,3,MNC,38,71801.023,1,Canada,47289,111
54.0,4,F,11,10.0,Trailer,7,Critical,,20.0,3887.0,1,Single,1,4,,1,338387.31299999997,1,Canada,20270,112
26.0,4,M,15,11.0,Condo,11,EMI,27.0,4084.0,2000.0,6,Single,0,2,MNC,38,384201.62100000004,0,Canada,14210,113
51.0,4,F,6,6.0,,5,EMI,52.0,20.0,2000.0,1,Single,1,4,MNC,38,97715.319,0,Canada,48683,115
47.0,2,F,8,12.0,Apartment,2,Applied,42.0,20.0,2000.0,1,,1,4,Self-employed,38,200119.366,1,Canada,44850,117
20.0,4,F,11,10.0,Apartment,2,EMI,,20.0,2000.0,2,Separated,0,2,Self-employed,38,103549.289,0,Canada,25107,119
28.0,2,F,9,14.0,Trailer,3,EMI,42.0,20.0,2000.0,4,Separated,1,4,Self-employed,10,75126.701,0,Canada,47522,122
27.0,4,F,9,14.0,Bungalow,9,Overdue,52.0,20.0,2000.0,1,Single,0,4,Self-employed,38,263603.083,1,Canada,28844,123
17.0,2,F,15,11.0,Condo,7,EMI,37.0,20.0,2000.0,4,Separated,1,3,MNC,38,302868.646,0,Canada,24271,124
18.0,4,M,15,11.0,Trailer,0,EMI,,20.0,3719.0,4,,1,4,Self-employed,38,116587.45300000001,0,Canada,43619,126
29.0,4,F,7,13.0,Trailer,0,EMI,42.0,20.0,2000.0,1,Single,1,3,Self-employed,38,110942.375,1,Canada,32067,127
33.0,4,F,11,10.0,Trailer,9,EMI,42.0,20.0,2000.0,1,Single,0,3,,38,126235.61,0,Canada,18359,128
37.0,4,F,15,11.0,Trailer,2,EMI,42.0,20.0,2000.0,2,Married,0,3,MNC,38,373503.586,0,Canada,46586,129
26.0,4,M,7,13.0,Condo,11,EMI,62.0,20.0,2000.0,2,Separated,1,3,MNC,38,69379.378,0,Canada,26135,130
22.0,4,M,11,10.0,Slum,7,EMI,42.0,20.0,3762.0,2,Separated,0,4,Self-employed,38,52272.233,0,Canada,32288,131
35.0,4,F,9,14.0,Trailer,11,EMI,,20.0,2000.0,1,Single,1,3,MNC,38,256690.913,0,Canada,40092,133
44.0,2,M,7,13.0,Slum,12,EMI,38.0,20.0,2000.0,2,Married,0,4,Self-employed,38,146820.286,0,Canada,10859,134
36.0,4,F,12,15.0,,9,Not Applied,42.0,20.0,2000.0,1,,0,3,MNC,19,117986.65400000001,1,Canada,19939,135
18.0,4,F,15,11.0,Slum,11,EMI,22.0,20.0,2000.0,4,Separated,0,4,MNC,38,40392.023,0,Canada,36564,138
43.0,4,M,8,12.0,Condo,9,EMI,42.0,20.0,3564.0,2,Separated,1,2,Self-employed,38,196140.908,1,Canada,40568,143
68.0,4,F,15,11.0,Bungalow,12,EMI,42.0,20.0,2000.0,3,,0,2,,38,107021.295,0,Canada,35124,144
34.0,4,M,11,10.0,Apartment,7,EMI,,20.0,2000.0,5,Engaged,0,2,Self-employed,38,108479.209,0,Canada,21969,147
45.0,4,M,15,11.0,Bungalow,0,Applied,40.0,20.0,2000.0,5,Married,0,2,MNC,25,187043.85100000002,0,Canada,22888,150
32.0,4,M,11,10.0,Trailer,0,EMI,42.0,20.0,2000.0,2,Separated,1,2,MNC,38,190553.93899999998,0,Canada,38011,151
31.0,1,M,9,14.0,Slum,3,EMI,42.0,20.0,2000.0,3,Separated,1,3,,29,158494.169,0,Canada,10436,152
19.0,4,F,11,10.0,Trailer,2,EMI,37.0,20.0,2000.0,4,,0,2,Self-employed,38,300226.974,0,Canada,11003,153
21.0,4,F,9,14.0,,5,EMI,42.0,20.0,2000.0,2,Separated,0,3,MNC,38,214273.535,0,Canada,37492,156
69.0,2,F,15,11.0,Bungalow,11,Critical,4.0,20.0,3816.0,5,Divorced with Children,0,3,MNC,38,495422.763,0,Canada,17718,157
40.0,2,F,9,14.0,Condo,7,EMI,52.0,20.0,2000.0,3,Divorced with Children,1,4,MNC,38,230165.32100000003,0,Canada,42576,159
66.0,4,M,3,3.0,,9,EMI,22.0,20.0,2000.0,2,Married,0,2,,38,32856.821,0,Canada,25196,160
26.0,1,M,11,10.0,Bungalow,3,EMI,42.0,20.0,2000.0,2,Separated,0,4,MNC,8,90012.871,0,Canada,26095,163
43.0,4,F,12,15.0,Slum,11,Critical,42.0,20.0,2000.0,1,Single,0,4,Self-employed,38,194104.76,1,Canada,45098,164
34.0,4,M,15,11.0,Slum,7,EMI,42.0,20.0,2000.0,5,Married,1,3,MNC,25,204848.254,0,Canada,17956,165
44.0,4,F,12,15.0,Apartment,10,Overdue,42.0,20.0,2000.0,5,Engaged,1,4,MNC,38,99503.586,0,Canada,22889,167
16.0,4,F,1,8.0,Bungalow,5,EMI,,20.0,2000.0,4,Separated,0,3,,38,26017.19100000001,0,Canada,25508,168
25.0,4,F,11,10.0,Bungalow,7,EMI,42.0,20.0,3980.0,2,Separated,1,3,Self-employed,38,130593.78300000001,0,Canada,22935,170
26.0,4,F,11,10.0,Condo,10,Overdue,42.0,20.0,2000.0,1,,0,2,MNC,38,170124.875,0,Canada,47335,171
49.0,4,F,15,11.0,Bungalow,11,EMI,42.0,20.0,3977.0,1,Single,1,4,MNC,38,98785.242,1,Canada,18344,172
26.0,4,F,9,14.0,Condo,9,Overdue,42.0,20.0,2000.0,1,Single,0,3,MNC,38,145386.87699999998,1,Canada,37306,174
25.0,4,M,11,10.0,,11,EMI,,20.0,2000.0,5,Divorced,1,3,Self-employed,38,256166.19,0,Canada,32105,175
32.0,2,F,11,10.0,Condo,5,EMI,42.0,20.0,2000.0,2,Separated,0,4,MNC,38,489364.526,0,Canada,42833,177
16.0,4,F,11,10.0,Bungalow,7,EMI,14.0,20.0,2000.0,4,Separated,1,4,MNC,38,190553.322,0,Canada,10356,178
31.0,4,F,9,14.0,Trailer,9,EMI,67.0,20.0,2000.0,1,Single,0,3,Self-employed,38,35837.092000000004,0,Canada,18187,179
41.0,4,M,15,11.0,Bungalow,0,EMI,42.0,20.0,2000.0,2,Married,1,2,MNC,38,115486.416,0,Canada,44702,181
28.0,2,F,15,11.0,Slum,2,EMI,,20.0,2000.0,2,Separated,0,3,MNC,38,626874.6120000001,0,Canada,43278,182
35.0,4,F,15,11.0,Apartment,0,Not Applied,44.0,20.0,2000.0,1,Single,1,3,,38,29877.982999999997,1,Canada,11743,184
39.0,4,M,9,14.0,Slum,3,Critical,42.0,20.0,2000.0,2,Married,0,2,Self-employed,38,147609.794,0,Canada,24666,186
51.0,4,M,9,14.0,Bungalow,9,EMI,52.0,20.0,2000.0,2,Married,0,2,Self-employed,38,130618.38699999999,0,Canada,48699,187
29.0,4,M,12,15.0,Condo,9,EMI,52.0,20.0,2000.0,6,Single,1,3,Self-employed,38,98867.756,0,Canada,22364,188
22.0,4,F,15,11.0,Apartment,6,EMI,42.0,20.0,2000.0,1,Single,0,4,MNC,38,156563.689,0,Canada,23954,191
39.0,2,F,9,14.0,,2,Applied,42.0,20.0,2000.0,1,Single,0,4,,38,521600.001,0,Canada,14445,192
45.0,4,F,15,11.0,,12,EMI,47.0,20.0,2000.0,1,Single,1,3,Self-employed,38,121777.70199999999,0,Canada,38026,193
39.0,4,F,9,14.0,Bungalow,12,Not Applied,26.0,20.0,2000.0,1,Single,1,4,Self-employed,38,129558.462,0,Canada,23179,194
21.0,4,F,4,4.0,Apartment,13,EMI,42.0,20.0,2000.0,3,Single,1,4,MNC,25,203884.538,0,Canada,22960,195
34.0,4,F,15,11.0,Slum,2,EMI,,20.0,2000.0,2,Married,0,3,MNC,38,98549.323,0,Canada,15617,196
38.0,4,M,12,15.0,Condo,3,Not Applied,57.0,14104.0,2000.0,2,Separated,0,4,MNC,38,54057.544,1,Canada,26619,197
22.0,4,F,11,10.0,Apartment,11,Critical,42.0,20.0,2000.0,2,Separated,1,3,MNC,38,37556.482,0,Canada,10780,199
24.0,4,M,12,15.0,Bungalow,9,EMI,42.0,20.0,3876.0,2,Separated,1,4,,38,393514.30799999996,0,Canada,34954,200
17.0,4,F,11,10.0,Apartment,9,EMI,42.0,20.0,2000.0,4,Separated,0,4,MNC,21,169961.43,0,Canada,31496,201
35.0,4,M,11,10.0,Apartment,0,Overdue,37.0,20.0,2000.0,5,Married,0,4,Self-employed,38,50534.932,0,Canada,40663,204
33.0,4,F,11,10.0,Condo,2,EMI,62.0,20.0,2000.0,2,,1,4,MNC,38,35900.393,0,Canada,12596,207
56.0,4,M,11,10.0,,11,Paid,37.0,15044.0,2000.0,6,Single,0,2,,38,209219.187,1,Canada,39937,208
15.0,4,M,1,8.0,,11,EMI,14.0,20.0,2000.0,4,Separated,1,3,Self-employed,38,57686.66,0,Canada,38159,209
42.0,2,F,11,10.0,Condo,13,Applied,,20.0,2000.0,1,Single,1,2,Self-employed,38,155585.01,0,Canada,17016,210
33.0,0,M,15,11.0,Slum,11,EMI,42.0,20.0,2000.0,2,Separated,0,4,MNC,38,155379.978,0,Canada,37043,212
58.0,1,F,11,10.0,Condo,2,EMI,42.0,20.0,2000.0,1,Single,1,4,MNC,38,85093.76199999999,0,Canada,43157,213
52.0,4,F,5,5.0,Bungalow,6,Paid,42.0,20.0,2000.0,1,Single,1,3,Self-employed,38,126069.87599999999,1,Canada,24293,214
35.0,2,F,9,14.0,Slum,3,EMI,62.0,20.0,2000.0,2,Separated,1,3,Self-employed,38,641644.701,1,Canada,33778,215
48.0,4,M,7,13.0,Trailer,11,EMI,42.0,20.0,2000.0,2,,0,3,,38,313999.786,0,Canada,43533,216
36.0,4,F,9,14.0,Trailer,11,EMI,,20.0,2000.0,1,Single,1,3,MNC,30,178915.268,0,Canada,20676,217
43.0,4,F,9,14.0,Slum,9,EMI,57.0,20.0,2000.0,1,Single,1,4,MNC,38,106925.597,0,Canada,19715,218
23.0,4,F,0,7.0,,2,EMI,42.0,20.0,2000.0,2,Separated,0,4,MNC,38,259463.575,0,Canada,42759,219
29.0,4,F,15,11.0,Apartment,5,EMI,42.0,20.0,2000.0,1,Single,1,4,Self-employed,38,194506.185,0,Canada,17235,220
52.0,2,F,11,10.0,Bungalow,0,EMI,22.0,20.0,2000.0,1,Single,1,2,MNC,38,175883.85600000006,0,Canada,22595,223
51.0,4,M,13,2.0,Slum,6,Applied,,20.0,2000.0,2,Separated,0,2,,38,143660.531,0,Canada,25379,224
16.0,4,M,11,10.0,Trailer,11,EMI,42.0,20.0,2000.0,4,,0,2,MNC,38,246239.19600000003,0,Canada,35937,225
64.0,4,F,11,10.0,Apartment,4,Critical,52.0,1429.0,2000.0,1,Single,0,2,MNC,38,163122.884,0,Canada,20223,227
73.0,4,M,8,12.0,Condo,0,EMI,22.0,20.0,2000.0,2,Engaged,0,2,Self-employed,3,313527.08,0,Canada,49274,228
33.0,2,F,1,8.0,Trailer,13,EMI,42.0,3694.0,2000.0,2,Divorced with Children,1,2,MNC,38,538017.287,0,Canada,18026,230
39.0,2,M,11,10.0,Condo,11,EMI,,20.0,2000.0,5,Married,0,2,Self-employed,38,130397.119,0,Canada,15322,231
31.0,3,M,15,11.0,Bungalow,2,EMI,42.0,20.0,2000.0,3,Married,0,4,Self-employed,38,112601.573,0,Canada,10346,233
26.0,4,F,14,16.0,,9,EMI,57.0,20.0,2000.0,2,,1,3,Self-employed,38,78698.915,1,Canada,11127,234
57.0,4,F,11,10.0,Trailer,7,Overdue,42.0,20.0,2000.0,1,Single,0,4,MNC,38,269231.788,0,Canada,22596,235
39.0,4,F,9,14.0,Slum,3,EMI,52.0,20.0,2000.0,1,Single,0,2,MNC,19,185767.138,1,Canada,14676,237
36.0,4,F,12,15.0,Slum,3,Applied,,20.0,2000.0,1,Single,1,3,Self-employed,38,113298.162,1,Canada,28016,238
21.0,4,F,11,10.0,Slum,13,EMI,42.0,20.0,2000.0,4,Separated,0,2,Self-employed,38,111561.48199999999,0,Canada,18088,239
22.0,4,F,7,13.0,Bungalow,10,Overdue,52.0,20.0,2000.0,1,Single,1,2,Self-employed,38,267784.887,0,Canada,49227,242
56.0,4,F,11,10.0,Bungalow,0,EMI,47.0,20.0,2000.0,1,Single,0,2,MNC,38,233575.76,1,Canada,16791,246
30.0,4,M,11,10.0,Trailer,7,EMI,36.0,20.0,2000.0,2,Separated,0,2,Self-employed,38,180265.327,0,Canada,40199,247
38.0,4,F,7,13.0,Condo,12,EMI,62.0,20.0,3977.0,1,Single,1,2,,38,205205.813,1,Canada,44012,248
39.0,4,M,14,16.0,Apartment,9,EMI,42.0,20.0,2000.0,6,Single,0,2,MNC,38,110653.55099999999,1,Canada,13934,250
57.0,2,M,0,7.0,Apartment,7,Applied,,20.0,2000.0,5,,0,4,Self-employed,38,176555.22,0,Canada,46545,252
17.0,4,F,15,11.0,,0,Applied,42.0,20.0,2000.0,4,Separated,0,3,MNC,38,29846.766,0,Canada,43151,253
40.0,1,F,11,10.0,Slum,4,Critical,42.0,20.0,2000.0,1,Single,1,3,MNC,0,301509.57300000003,1,Canada,26719,255
18.0,4,M,11,10.0,Trailer,7,EMI,42.0,20.0,2000.0,4,Separated,0,2,,38,115990.20599999999,0,Canada,21494,256
34.0,4,M,9,14.0,Slum,9,EMI,42.0,20.0,2000.0,4,Married,1,4,MNC,38,153570.88199999998,0,Canada,31304,260
43.0,4,F,11,10.0,Trailer,11,EMI,62.0,20.0,2000.0,1,,1,2,MNC,38,96609.05300000001,0,Canada,49639,261
15.0,4,F,1,8.0,,7,EMI,14.0,20.0,2000.0,4,Separated,0,2,Self-employed,38,251375.59699999998,0,Canada,19883,262
24.0,4,F,1,8.0,,2,EMI,42.0,20.0,2000.0,1,Single,0,3,,38,381632.529,0,Canada,19406,264
35.0,1,F,15,11.0,Apartment,3,Paid,77.0,20.0,2000.0,1,Single,0,3,MNC,36,256612.733,1,Canada,20033,265
17.0,4,F,15,11.0,Bungalow,9,EMI,,20.0,2000.0,4,Separated,0,2,Self-employed,1,220792.35199999998,0,Canada,15372,266
62.0,4,F,11,10.0,Slum,3,EMI,42.0,20.0,2000.0,1,Single,0,2,MNC,38,24852.267999999996,1,Canada,33781,267
31.0,4,M,9,14.0,Trailer,9,EMI,47.0,20.0,2000.0,2,Separated,1,3,Self-employed,38,189971.33399999997,0,Canada,25803,268
15.0,4,F,6,6.0,,7,EMI,26.0,1075.0,2000.0,4,Separated,0,2,Self-employed,38,192948.828,0,Canada,45089,271
48.0,4,F,12,15.0,Condo,4,Critical,100.0,2427.0,2000.0,1,Single,0,2,,38,25275.38,0,Canada,15667,272
25.0,4,F,12,15.0,Slum,9,Applied,,20.0,2000.0,4,Separated,0,2,MNC,38,214319.542,0,Canada,43923,273
28.0,4,M,11,10.0,,9,EMI,42.0,20.0,2000.0,4,Married,1,3,MNC,38,62583.806,0,Canada,21584,274
41.0,2,F,11,10.0,Slum,5,EMI,42.0,20.0,2000.0,1,Single,1,4,Self-employed,38,478957.784,0,Canada,17687,275
42.0,4,F,15,11.0,Apartment,2,EMI,42.0,7318.0,2000.0,1,Single,1,3,MNC,38,175916.40899999999,1,Canada,23979,276
33.0,4,M,15,11.0,Bungalow,3,EMI,42.0,20.0,2000.0,2,Separated,0,4,Self-employed,38,195509.41100000002,0,Canada,18134,277
22.0,4,M,15,11.0,Slum,6,EMI,50.0,7318.0,2000.0,6,,0,4,MNC,38,275692.032,1,Canada,30649,279
20.0,4,M,9,14.0,Bungalow,9,EMI,,20.0,2000.0,2,Separated,0,3,,10,31496.426,0,Canada,37675,280
40.0,4,F,15,11.0,Apartment,2,Applied,42.0,5198.0,2000.0,1,Single,0,3,Self-employed,38,99123.53300000001,1,Canada,25310,281
32.0,2,M,7,13.0,Slum,11,EMI,47.0,20.0,2000.0,5,Married,1,3,MNC,38,176859.61399999997,0,Canada,26740,282
58.0,4,M,9,14.0,Trailer,9,EMI,44.0,20.0,2000.0,2,Married,1,2,Self-employed,38,170958.549,0,Canada,26313,283
19.0,4,F,11,10.0,Trailer,5,EMI,42.0,20.0,2000.0,4,Separated,0,3,Self-employed,38,201980.598,0,Canada,36207,284
