Role,Invested in Real Estate,Extra Hours,Invested in Stock Market,Favourite Sport,Gender,Languages Known,Sport Knowledge (in XP),Average no. of leaves/month,Trades Done,Married(1/0),Level of Education,Occupation,Pay,ID Proof,Most Productive Hour,Tax Category,Income Category,Employer,Tax Paid,Id
Full-time,Ocean Side,Paid,Tesla,polo,male,2,12.0,5,49,0,Masters,0,10908.73,Driving License,8,333,2.0,Vision-Analytics,23949,34
Full-time,Ocean Side,Paid,Tesla,polo,female,1,87.0,5,55,-1,Graduation,4,336.73,Driving License,8,239,2.0,,45573,35
Part-time,Ocean Side,Paid,Tesla,swimming,female,3,,5,23,0,Graduation,7,266.73,Driving License,8,362,2.0,Vision-Analytics,15795,36
Part-time,Country Side,Paid,Tesla,basketball,female,2,89.0,4,51,0,Graduation,4,270.73,Driving License,8,1663,2.0,Vision-Analytics,27899,37
Full-time,Ocean Side,Paid,Tesla,badminton,male,3,58.0,0,35,1,Graduation,3,273.73,Driving License,8,134,2.0,Vision-Analytics,44104,39
Part-time,,Paid,Tesla,soccer,male,4,42.0,4,42,-1,Graduation,6,2859.73,Driving License,8,157,2.0,Vision-Analytics,24208,40
Full-time,Ocean Side,Paid,Tesla,None,female,4,50.0,2,58,0,,7,377.73,Driving License,8,19,2.0,,19650,42
Part-time,Ocean Side,Paid,Tesla,badminton,male,1,57.0,1,52,1,Graduation,10,802.73,Driving License,8,1489,2.0,Vision-Analytics,41727,43
Part-time,Ocean Side,Unpaid,Tesla,basketball,female,4,,1,34,1,High School,3,102.73,Driving License,8,239,2.0,Vision-Analytics,29453,45
Part-time,Ocean Side,Paid,Tesla,None,female,2,53.0,4,56,0,Masters,1,90.27,Driving License,8,352,2.0,Vision-Analytics,12016,46
Full-time,Ocean Side,Paid,Tesla,badminton,male,4,47.0,1,52,0,Graduation,7,1564.73,Driving License,8,263,2.0,Vision-Analytics,10151,50
Part-time,Ocean Side,Paid,Tesla,None,female,2,67.0,1,46,-1,Masters,0,29.73,Driving License,8,250,2.0,Vision-Analytics,22448,51
Part-time,Ocean Side,Paid,Tesla,badminton,male,3,13.0,0,30,0,Masters,0,273.73,Driving License,8,176,2.0,Vision-Analytics,46814,52
Full-time,Ocean Side,Paid,Tesla,basketball,female,3,58.0,5,40,1,Graduation,3,197.73,Driving License,8,784,2.0,Vision-Analytics,30614,53
Full-time,Ocean Side,Unpaid,Tesla,badminton,female,1,,3,22,1,Graduation,4,170.73,Driving License,8,142,2.0,Vision-Analytics,28923,54
Full-time,Country Side,Unpaid,Tesla,basketball,male,4,30.0,2,36,1,Masters,8,516.73,Driving License,8,171,2.0,Vision-Analytics,16759,55
Part-time,,Paid,Tesla,polo,male,4,90.0,3,36,1,Masters,0,697.73,Driving License,8,101,2.0,,40919,56
Part-time,Ocean Side,Paid,Tesla,None,female,2,71.0,3,44,1,High School,6,452.73,Driving License,8,1775,2.0,Vision-Analytics,47655,59
Full-time,Ocean Side,Paid,Tesla,polo,female,4,38.0,5,51,-1,Graduation,4,1262.73,Driving License,8,809,2.0,Vision-Analytics,21909,61
Part-time,Ocean Side,Paid,Tesla,badminton,male,2,90.0,4,55,0,High School,7,522.73,Driving License,8,161,,Vision-Analytics,23780,62
Part-time,,Paid,Tesla,badminton,male,2,49.0,5,47,0,,7,427.73,Driving License,8,354,2.0,Vision-Analytics,35608,64
Part-time,Ocean Side,Paid,Tesla,cricket,female,4,29.0,3,49,0,Masters,0,6803.73,Driving License,8,88,2.0,Vision-Analytics,49638,65
Full-time,Ocean Side,Paid,Tesla,cricket,female,2,9.0,4,53,0,Graduation,4,1478.73,Driving License,8,155,2.0,Vision-Analytics,32566,68
Full-time,Ocean Side,Unpaid,Tesla,,male,2,69.0,1,33,1,Graduation,7,12496.73,Driving License,8,174,2.0,Vision-Analytics,35920,69
Part-time,Ocean Side,Unpaid,Tesla,None,male,1,,1,55,1,Graduation,7,6208.73,Driving License,8,255,2.0,,23449,70
Part-time,Ocean Side,Unpaid,Tesla,polo,female,4,25.0,4,29,0,Graduation,6,298.73,Driving License,8,169,2.0,Vision-Analytics,43305,71
Part-time,Country Side,Unpaid,Tesla,basketball,female,4,41.0,3,42,0,Graduation,7,855.73,Driving License,8,208,2.0,Vision-Analytics,29617,76
Part-time,Country Side,Paid,Tesla,soccer,male,3,79.0,3,53,-1,Graduation,6,364.73,Driving License,8,346,2.0,,10844,77
Part-time,Ocean Side,Paid,Tesla,swimming,male,1,37.0,4,53,-1,Graduation,6,274.73,Driving License,8,205,2.0,Vision-Analytics,23616,79
Part-time,Ocean Side,Paid,Jio,polo,male,2,61.0,2,57,0,Graduation,3,2616.73,Driving License,8,1039,2.0,Vision-Analytics,27498,83
Part-time,Ocean Side,Unpaid,Tesla,soccer,male,4,75.0,4,44,0,Masters,1,,Driving License,8,243,2.0,,18523,84
Part-time,Ocean Side,Paid,Tesla,basketball,female,2,73.0,1,49,0,High School,7,446.73,Driving License,8,526,2.0,Vision-Analytics,26695,85
Full-time,Country Side,Paid,Jio,cricket,female,4,50.0,0,54,0,Graduation,3,318.73,Driving License,8,1464,2.0,Vision-Analytics,30766,86
Full-time,Country Side,Paid,Tesla,basketball,male,2,,2,40,1,Graduation,0,323.73,Driving License,8,45,2.0,Vision-Analytics,27304,90
Part-time,Ocean Side,Unpaid,Tesla,soccer,male,1,35.0,3,28,0,Graduation,4,425.73,Driving License,8,210,2.0,,20850,91
Full-time,Ocean Side,Paid,Tesla,badminton,female,1,11.0,3,58,0,,7,327.73,Driving License,8,218,2.0,Vision-Analytics,41888,93
Full-time,Country Side,Paid,Tesla,soccer,female,4,61.0,5,55,-1,Graduation,8,236.73,Driving License,8,170,2.0,Vision-Analytics,38252,94
Part-time,Ocean Side,Paid,Tesla,badminton,male,3,32.0,2,58,0,Masters,10,354.73,Driving License,8,98,2.0,Vision-Analytics,10484,97
Full-time,Ocean Side,Paid,Tesla,None,male,3,,0,44,0,Masters,0,502.73,Driving License,8,194,2.0,Vision-Analytics,27429,99
Full-time,Ocean Side,Paid,Tesla,cricket,female,4,67.0,1,50,0,High School,7,401.73,Driving License,8,226,2.0,Vision-Analytics,17198,102
Part-time,Ocean Side,Paid,Tesla,soccer,female,4,63.0,3,42,0,Graduation,7,327.73,Driving License,8,194,2.0,,46427,105
Full-time,Ocean Side,Paid,Tesla,badminton,female,2,,0,57,1,Graduation,10,303.73,Driving License,8,511,2.0,Vision-Analytics,10144,108
Full-time,Ocean Side,Paid,Tesla,swimming,male,1,7.0,4,43,0,Masters,0,796.73,Driving License,8,846,2.0,Vision-Analytics,32012,109
Part-time,Ocean Side,Paid,Tesla,None,male,2,46.0,2,27,-1,Graduation,6,304.73,Driving License,8,191,2.0,Vision-Analytics,49381,110
Full-time,Ocean Side,Paid,Tesla,badminton,female,1,3.0,3,34,0,High School,7,721.73,Driving License,8,283,2.0,Vision-Analytics,48388,113
Part-time,Ocean Side,Paid,Tesla,cricket,female,4,75.0,4,57,1,High School,10,354.73,Driving License,8,104,2.0,Vision-Analytics,18229,114
Full-time,Ocean Side,Paid,Tesla,basketball,male,4,33.0,5,39,0,Graduation,3,,Driving License,8,515,2.0,Vision-Analytics,35603,116
Part-time,Ocean Side,Paid,Tesla,polo,female,3,,5,31,1,Masters,0,,Driving License,8,361,2.0,Vision-Analytics,14667,117
Part-time,Country Side,Paid,Tesla,,male,4,50.0,2,57,-1,Masters,0,535.73,Driving License,8,175,2.0,Vision-Analytics,29947,118
Full-time,,Paid,Tesla,swimming,female,3,10.0,5,54,-1,,4,329.73,Driving License,8,436,2.0,Vision-Analytics,12296,120
Full-time,Ocean Side,Paid,Tesla,badminton,male,1,77.0,1,32,0,,3,276.73,Driving License,8,117,2.0,Vision-Analytics,31134,122
Full-time,Ocean Side,Paid,Tesla,polo,male,2,24.0,1,31,1,Graduation,4,378.73,Driving License,8,259,2.0,Vision-Analytics,24221,125
Part-time,Ocean Side,Unpaid,Tesla,badminton,male,1,,0,27,1,Graduation,3,1091.73,Driving License,8,58,2.0,,23081,126
Full-time,Ocean Side,Unpaid,Tesla,basketball,male,3,51.0,5,32,0,Graduation,6,257.73,Driving License,8,75,2.0,Vision-Analytics,41435,127
Part-time,Ocean Side,Paid,Jio,None,male,3,99.0,4,53,0,Graduation,6,2749.73,Driving License,8,576,2.0,Vision-Analytics,25442,129
Full-time,Country Side,Paid,Tesla,basketball,male,2,81.0,3,53,0,,0,1458.73,Driving License,8,674,2.0,Vision-Analytics,30675,130
Full-time,Ocean Side,Paid,Tesla,None,male,1,22.0,2,30,1,Graduation,3,490.73,Driving License,8,342,2.0,Vision-Analytics,19050,131
Part-time,Ocean Side,Unpaid,Tesla,basketball,female,3,33.0,0,53,1,Graduation,3,1075.73,Driving License,8,97,2.0,,15092,133
Full-time,Ocean Side,Paid,Tesla,,male,1,,0,21,0,Graduation,7,367.73,Driving License,8,190,2.0,Vision-Analytics,12010,135
Part-time,Ocean Side,Paid,Tesla,None,male,4,74.0,3,32,1,Graduation,1,276.73,Driving License,8,298,2.0,Vision-Analytics,12867,141
Full-time,,Paid,Tesla,,male,2,,5,57,0,Graduation,7,330.73,Driving License,8,95,2.0,Vision-Analytics,31316,144
Part-time,Ocean Side,Paid,Tesla,basketball,male,1,38.0,0,31,0,Graduation,6,295.73,Driving License,8,68,2.0,Vision-Analytics,12713,145
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,77.0,5,54,-1,High School,7,281.73,Driving License,8,154,2.0,Vision-Analytics,30806,146
Full-time,Ocean Side,Paid,Tesla,badminton,female,1,63.0,3,46,0,Graduation,2,566.73,Driving License,8,240,2.0,,15698,147
Full-time,,Paid,Tesla,soccer,female,3,78.0,3,38,0,Masters,0,269.73,Driving License,8,2030,2.0,Vision-Analytics,17193,152
Part-time,Ocean Side,Paid,Tesla,polo,male,4,,5,37,0,Graduation,0,291.73,Driving License,8,82,2.0,Vision-Analytics,11195,153
Part-time,Ocean Side,Paid,Tesla,cricket,female,4,39.0,2,39,0,Graduation,6,273.73,Driving License,8,111,2.0,Vision-Analytics,43955,155
Part-time,Ocean Side,Paid,Tesla,polo,female,1,81.0,4,49,0,,7,2156.73,Driving License,8,54,2.0,Vision-Analytics,26360,156
Part-time,Ocean Side,Paid,Tesla,None,male,2,18.0,2,58,1,Graduation,10,489.73,Driving License,8,235,2.0,Vision-Analytics,28939,157
Part-time,Ocean Side,Paid,Tesla,swimming,female,2,89.0,4,46,0,Graduation,7,1177.73,Driving License,8,125,2.0,Vision-Analytics,20430,159
Part-time,,Paid,Tesla,,male,1,15.0,1,46,1,,6,1978.73,Driving License,8,104,2.0,Vision-Analytics,39512,160
Part-time,Ocean Side,Paid,Tesla,badminton,male,4,32.0,3,37,1,Masters,4,320.73,Driving License,8,178,2.0,,47937,161
Part-time,Ocean Side,Paid,Tesla,None,female,3,58.0,5,38,0,Graduation,7,1498.73,Driving License,8,555,2.0,Vision-Analytics,42321,163
Full-time,Ocean Side,Paid,Tesla,soccer,male,2,44.0,0,24,1,Graduation,3,355.73,Driving License,8,225,2.0,Vision-Analytics,14213,165
Full-time,Ocean Side,Paid,Tesla,cricket,female,2,90.0,5,52,0,Graduation,4,1651.73,Driving License,8,237,2.0,Vision-Analytics,34059,167
Part-time,,Paid,Jio,cricket,female,3,67.0,3,52,0,Masters,3,457.73,Driving License,8,670,2.0,,30166,168
Full-time,Country Side,Paid,Tesla,polo,female,3,77.0,5,48,0,High School,7,273.73,Driving License,8,230,2.0,Vision-Analytics,25682,169
Full-time,Ocean Side,Paid,Tesla,polo,female,4,10.0,4,33,0,Graduation,7,,Driving License,8,1053,2.0,Vision-Analytics,28560,170
Full-time,Ocean Side,Unpaid,Tesla,cricket,female,3,,0,42,0,Graduation,6,1630.73,Driving License,8,247,2.0,Vision-Analytics,33842,171
Part-time,Ocean Side,Paid,Tesla,badminton,female,3,25.0,1,51,0,,8,292.73,Driving License,8,249,2.0,Vision-Analytics,36739,172
Part-time,Country Side,Paid,Tesla,swimming,male,2,94.0,2,33,1,High School,10,707.73,Driving License,8,135,2.0,Vision-Analytics,31534,173
Part-time,Ocean Side,Paid,Tesla,polo,female,3,88.0,5,58,-1,Graduation,3,365.73,Driving License,8,127,2.0,Vision-Analytics,26239,174
Part-time,Ocean Side,Paid,Tesla,basketball,male,2,61.0,3,51,-1,Graduation,3,1424.73,Driving License,8,409,2.0,,41392,175
Part-time,,Paid,Tesla,basketball,male,2,,5,46,0,Graduation,2,314.73,Driving License,8,176,2.0,Vision-Analytics,49177,176
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,35.0,0,32,0,Graduation,4,,Driving License,8,16,2.0,Vision-Analytics,19938,177
Full-time,Ocean Side,Paid,Tesla,badminton,female,2,6.0,3,49,0,Graduation,0,1434.73,Driving License,8,714,2.0,Vision-Analytics,44931,179
Full-time,Ocean Side,Paid,Tesla,soccer,male,2,62.0,5,33,-1,Graduation,4,1060.73,Driving License,8,680,2.0,Vision-Analytics,10544,181
Full-time,Ocean Side,Paid,Tesla,None,male,4,54.0,5,33,1,Graduation,6,332.73,Driving License,8,1074,2.0,,28519,182
Part-time,Ocean Side,Paid,Tesla,swimming,male,4,75.0,4,36,0,Graduation,4,,Driving License,8,413,2.0,Vision-Analytics,35865,183
Full-time,,Paid,Tesla,badminton,female,4,84.0,1,34,0,Masters,3,484.73,Driving License,8,143,2.0,Vision-Analytics,12091,184
Full-time,Ocean Side,Paid,Tesla,cricket,female,2,60.0,0,56,0,High School,10,508.73,Driving License,8,164,2.0,Vision-Analytics,29831,185
Full-time,Ocean Side,Paid,Tesla,swimming,male,2,30.0,0,38,-1,,6,4657.73,Driving License,8,312,2.0,Vision-Analytics,14840,186
Part-time,Country Side,Paid,Tesla,soccer,male,1,64.0,5,52,0,Graduation,0,4353.73,Driving License,8,137,2.0,Vision-Analytics,42417,187
Full-time,Ocean Side,Paid,Tesla,badminton,female,4,,2,29,1,Masters,0,273.73,Driving License,8,559,2.0,,37993,189
Full-time,Ocean Side,Paid,Tesla,cricket,male,2,57.0,5,49,0,Graduation,10,2400.73,Driving License,8,169,2.0,Vision-Analytics,13277,190
Part-time,Ocean Side,Paid,Tesla,swimming,male,2,47.0,4,31,0,Masters,0,650.73,Driving License,8,214,2.0,Vision-Analytics,45062,191
Part-time,Ocean Side,Paid,Tesla,soccer,male,1,52.0,5,32,0,Graduation,7,516.73,Driving License,8,288,2.0,Vision-Analytics,35973,194
Part-time,Ocean Side,Paid,Tesla,cricket,female,4,89.0,5,31,1,Graduation,7,,Driving License,8,306,2.0,Vision-Analytics,23341,195
Full-time,Country Side,Unpaid,Tesla,None,female,4,44.0,3,48,-1,Masters,4,446.73,Driving License,8,95,2.0,Vision-Analytics,19253,197
Part-time,Ocean Side,Paid,Tesla,cricket,female,1,,1,41,0,Masters,0,673.73,Driving License,8,253,2.0,Vision-Analytics,15685,198
Part-time,Ocean Side,Paid,Tesla,swimming,male,3,1.0,4,59,-1,High School,7,1701.73,Driving License,8,79,2.0,Vision-Analytics,42075,199
Full-time,,Paid,Tesla,,female,1,4.0,1,45,0,Graduation,3,492.73,Driving License,8,574,2.0,Vision-Analytics,13962,200
Full-time,Ocean Side,Paid,Tesla,polo,male,3,71.0,1,46,0,Masters,1,280.73,Driving License,8,283,2.0,Vision-Analytics,39290,201
Full-time,Ocean Side,Paid,Tesla,badminton,male,4,14.0,3,33,1,,5,571.73,Driving License,8,608,2.0,,42441,203
Full-time,Ocean Side,Paid,Tesla,cricket,female,2,76.0,4,33,0,Graduation,6,273.73,Driving License,8,468,2.0,Vision-Analytics,33348,204
Full-time,Ocean Side,Unpaid,Tesla,polo,male,2,40.0,0,48,0,Graduation,6,5972.73,Driving License,8,378,2.0,Vision-Analytics,14794,205
Part-time,Ocean Side,Unpaid,Tesla,basketball,male,1,29.0,2,39,0,Masters,0,449.73,Driving License,8,39,2.0,Vision-Analytics,29035,206
Part-time,Ocean Side,Paid,Tesla,polo,male,1,,2,39,0,Masters,0,790.73,Driving License,8,248,2.0,Vision-Analytics,12200,207
Full-time,Ocean Side,Paid,Tesla,badminton,female,1,95.0,0,51,0,Graduation,10,603.73,Driving License,8,213,2.0,Vision-Analytics,12718,211
Part-time,Country Side,Paid,Tesla,None,male,2,80.0,5,57,-1,High School,9,468.73,Driving License,8,363,2.0,Vision-Analytics,42383,212
Full-time,Ocean Side,Paid,Tesla,cricket,female,4,49.0,5,34,0,Graduation,6,574.73,Driving License,8,207,2.0,Vision-Analytics,11771,213
Part-time,Ocean Side,Paid,Tesla,,male,1,80.0,4,38,0,Masters,4,756.73,Driving License,8,165,2.0,Vision-Analytics,13523,215
Part-time,,Paid,Tesla,basketball,male,3,,3,45,0,,11,301.73,Driving License,8,335,2.0,Vision-Analytics,15039,216
Part-time,Country Side,Paid,Tesla,None,male,4,7.0,3,44,0,High School,9,1238.73,Driving License,8,174,2.0,Vision-Analytics,34898,218
Part-time,Ocean Side,Unpaid,Tesla,None,female,4,,4,37,0,Masters,0,651.73,Driving License,8,124,2.0,Vision-Analytics,10393,219
Part-time,Ocean Side,Paid,Tesla,basketball,female,3,32.0,4,38,0,Graduation,2,492.73,Driving License,8,354,2.0,Vision-Analytics,36325,220
Part-time,Ocean Side,Paid,Tesla,cricket,male,2,1.0,5,26,0,High School,7,597.73,Driving License,8,172,2.0,Vision-Analytics,49050,221
Full-time,Country Side,Unpaid,Tesla,cricket,male,3,1.0,3,53,0,Graduation,10,273.73,Driving License,8,133,2.0,Vision-Analytics,12161,223
Full-time,,Paid,Tesla,cricket,female,3,20.0,5,41,-1,,4,478.73,Driving License,8,1416,2.0,,20401,224
Full-time,Ocean Side,Paid,Tesla,badminton,male,3,5.0,5,56,0,,0,1338.73,Driving License,8,210,2.0,Vision-Analytics,42422,226
Part-time,Ocean Side,Paid,Tesla,polo,male,4,82.0,3,31,1,Masters,0,307.73,Driving License,8,24,2.0,Vision-Analytics,49975,227
Full-time,Country Side,Paid,Tesla,polo,female,2,84.0,1,34,0,,7,1306.73,Driving License,8,235,2.0,Vision-Analytics,14584,228
Part-time,Ocean Side,Paid,Tesla,basketball,female,3,91.0,5,45,0,High School,7,261.73,Driving License,8,15,2.0,Vision-Analytics,31790,230
Part-time,Ocean Side,Paid,Tesla,cricket,male,4,84.0,4,29,0,Graduation,6,,Driving License,8,727,2.0,,14816,231
Part-time,,Paid,Tesla,None,female,2,9.0,5,55,0,Graduation,8,567.73,Driving License,8,743,2.0,Vision-Analytics,33090,232
Part-time,Country Side,Paid,Tesla,basketball,male,3,70.0,0,51,0,,7,2100.73,Driving License,8,118,2.0,Vision-Analytics,42010,233
Part-time,Ocean Side,Paid,Tesla,badminton,male,2,,2,53,0,High School,7,900.73,Driving License,8,244,2.0,Vision-Analytics,16600,234
Part-time,Ocean Side,Paid,Tesla,badminton,female,1,43.0,0,43,0,High School,7,298.73,Driving License,8,37,2.0,Vision-Analytics,33561,235
Full-time,Ocean Side,Paid,Tesla,cricket,female,3,46.0,0,35,0,High School,7,273.73,Driving License,8,76,2.0,Vision-Analytics,16196,237
Full-time,Ocean Side,Paid,Tesla,,male,4,38.0,4,42,-1,Graduation,3,339.73,Driving License,8,203,2.0,,41906,238
Full-time,Ocean Side,Unpaid,Tesla,polo,male,4,7.0,3,47,-1,High School,7,264.73,Driving License,8,386,2.0,Vision-Analytics,12652,239
Part-time,,Unpaid,Tesla,badminton,male,4,11.0,5,44,0,Graduation,4,622.73,Driving License,8,124,2.0,Vision-Analytics,39706,240
Full-time,Ocean Side,Paid,Tesla,,male,1,35.0,5,41,0,,8,,Driving License,8,699,2.0,Vision-Analytics,35714,241
Part-time,Ocean Side,Paid,Tesla,None,male,1,,5,41,0,Graduation,4,707.73,Driving License,8,114,2.0,Vision-Analytics,46798,243
Full-time,Country Side,Paid,Tesla,polo,female,2,80.0,1,40,0,,0,548.73,Driving License,8,405,2.0,,45376,245
Part-time,Ocean Side,Paid,Tesla,,female,3,37.0,4,20,1,Graduation,7,273.73,Driving License,8,176,2.0,Vision-Analytics,26069,246
Full-time,Ocean Side,Paid,Tesla,swimming,female,4,39.0,5,38,0,Masters,0,480.73,Driving License,8,36,2.0,Vision-Analytics,17250,247
Part-time,,Paid,Tesla,,male,2,74.0,4,37,0,Graduation,7,756.73,Driving License,8,279,2.0,Vision-Analytics,46294,248
Full-time,Ocean Side,Paid,Tesla,,female,1,16.0,2,49,0,Graduation,6,2521.73,Driving License,8,711,2.0,Vision-Analytics,21875,249
Part-time,Ocean Side,Paid,Tesla,basketball,female,3,33.0,4,47,0,Graduation,3,701.73,Driving License,8,47,2.0,Vision-Analytics,20596,250
Part-time,Ocean Side,Unpaid,Tesla,soccer,male,2,2.0,1,51,0,Graduation,7,273.73,Driving License,8,178,2.0,Vision-Analytics,22624,251
Full-time,Ocean Side,Paid,Tesla,swimming,male,3,,3,32,1,Graduation,6,273.73,Driving License,8,139,2.0,,19685,252
Full-time,Ocean Side,Paid,Tesla,basketball,female,2,13.0,3,48,1,Masters,0,570.73,Driving License,8,116,2.0,Vision-Analytics,13558,254
Full-time,,Paid,Tesla,badminton,male,1,,3,57,-1,Graduation,8,1174.73,Driving License,8,70,2.0,Vision-Analytics,22721,256
Part-time,Ocean Side,Unpaid,Tesla,swimming,male,1,63.0,1,34,0,Graduation,6,416.73,Driving License,8,347,2.0,Vision-Analytics,20433,258
Part-time,Ocean Side,Paid,Tesla,,female,2,93.0,5,51,0,Graduation,7,343.73,Driving License,8,608,2.0,Vision-Analytics,16458,260
Part-time,Ocean Side,Paid,Tesla,,male,2,,2,32,1,Masters,0,591.73,Driving License,8,110,,Vision-Analytics,24225,261
Full-time,Ocean Side,Paid,Tesla,soccer,male,4,84.0,3,35,0,Graduation,4,548.73,Driving License,8,129,2.0,Vision-Analytics,12373,262
Full-time,,Paid,Tesla,basketball,male,4,33.0,5,39,0,High School,8,509.73,Driving License,8,148,2.0,Vision-Analytics,22476,264
Part-time,Ocean Side,Paid,Tesla,badminton,male,4,15.0,1,28,1,Masters,5,298.73,Driving License,8,86,2.0,Vision-Analytics,18166,265
Full-time,Ocean Side,Paid,Tesla,swimming,male,3,82.0,2,37,-1,Graduation,3,75.27,Driving License,8,608,2.0,Vision-Analytics,17670,267
Full-time,Ocean Side,Unpaid,Tesla,,female,2,67.0,3,39,0,High School,7,456.73,Driving License,8,107,2.0,Vision-Analytics,29442,268
Full-time,Ocean Side,Paid,Tesla,soccer,female,4,35.0,3,38,0,High School,7,273.73,Driving License,8,460,2.0,Vision-Analytics,12608,269
Full-time,Ocean Side,Unpaid,Jio,None,female,1,,3,40,1,Masters,0,273.73,Driving License,8,559,2.0,Vision-Analytics,13145,270
Full-time,Ocean Side,Paid,Tesla,,female,3,43.0,0,38,-1,High School,7,273.73,Driving License,8,959,2.0,Vision-Analytics,38064,271
Part-time,,Paid,Tesla,None,female,2,24.0,4,55,0,Graduation,4,1351.73,Driving License,8,7,2.0,Vision-Analytics,22224,272
Full-time,Country Side,Paid,Tesla,cricket,female,1,20.0,3,54,-1,Graduation,8,428.73,Driving License,8,115,2.0,,32751,273
Part-time,Ocean Side,Paid,Tesla,None,female,3,63.0,4,35,0,Graduation,3,463.73,Driving License,8,89,2.0,Vision-Analytics,48149,274
Part-time,Ocean Side,Paid,Tesla,,male,3,54.0,4,57,0,Graduation,10,592.73,Driving License,8,140,2.0,Vision-Analytics,11496,275
Part-time,Ocean Side,Paid,Tesla,badminton,male,4,12.0,3,37,-1,Graduation,6,88.73,Driving License,8,186,2.0,Vision-Analytics,28961,276
Part-time,Ocean Side,Paid,Tesla,soccer,female,1,39.0,4,36,1,Graduation,6,843.73,Driving License,8,72,2.0,Vision-Analytics,49054,278
Full-time,Country Side,Paid,Tesla,cricket,female,3,,1,34,0,Masters,1,292.73,Driving License,8,186,2.0,Vision-Analytics,13289,279
